"Original Text","Initial","Machine translation","Better translation","Best translation"
"newgonggao","","","",""
"se/magic.ogg","","","",""
"公告","","","",""
"关注我们","","","",""
"官方微博：{a=https://www.weibo.com/pingfanggames}{color=#ff0000}@平方游戏{/color}{/a}{size=-5}（点击@自动跳转至微博）{/size}
联系方式：pingfanggames@qq.com
QQ群：757347447（一群）693318701（二群）{size=-5}（欢迎入群讨论游戏剧情和攻略）{/size}","","","",""
"感谢名单","","","",""
"【返回】","","","",""
"cangyingtuier","","","",""
"jinshuiyuanhun","","","",""
"shezhangchengyin","","","",""
"maimaimaimai","","","",""
"juranpingshou","","","",""
"buzhuanbukui","","","",""
"manzaiergui","","","",""
"shijiudaren","","","",""
"jieyuanpanjing","","","",""
"qichidaru","","","",""
"daofengyinxue","","","",""
"sishuiliunian","","","",""
"zhiyuzhien","","","",""
"xianzhanwuma","","","",""
"qianbeibudao","","","",""
"dazuiliuwang","","","",""
"yibeiyixi","","","",""
"soubianmishi","","","",""
"yanyaqunfang","","","",""
"lenglengqingqing","","","",""
"jiqiquanyuan","","","",""
"kanjiagaoshou","","","",""
"dengmizhuanjia","","","",""
"chutouwuqing","","","",""
"wubiganga","","","",""
"feihuaguanjun","","","",""
"jingyanhuafang","","","",""
"longzhoujiahua","","","",""
"ciqingmianmian","","","",""
"ceyinzhixin","","","",""
"jiukujiunan","","","",""
"anshiqixin","","","",""
"yiyanwannian","","","",""
"xiazhidazhe","","","",""
"caiyuangungun","","","",""
"chazhangkuangren","","","",""
"maomidezengli","","","",""
"dadaoxiongdi","","","",""
"hejiahuanle","","","",""
"wencaoshengquan","","","",""
"xiaoshiniudao","","","",""
"rirudoujin","","","",""
"pengchengwanli","","","",""
"moqidadang","","","",""
"dingjilouge","","","",""
"hanniuchongdong","","","",""
"chouqixuntian","","","",""
"yuwendaibiao","","","",""
"xiaoyaozizai","","","",""
"zhongjiweituo","","","",""
"miaoshoudanqing","","","",""
"mingmantianxia","","","",""
"mingmantianxiamingmantianxia","","","",""
"youkoujiebei","","","",""
"mibutoufeng","","","",""
"yifanzhien","","","",""
"turanshiyi","","","",""
"wulinxinxiu","","","",""
"derenzhechang","","","",""
"shirenzhewang","","","",""
"qingxiangniaoniao","","","",""
"fuhuoxiangyi","","","",""
"biaolibuyi","","","",""
"chayouzenyang","","","",""
"wuxinghaoping","","","",""
"liujiannianhuo","","","",""
"silitaosheng","","","",""
"wudouxiansheng","","","",""
"tongshiqizhen","","","",""
"duanantianfu","","","",""
"youqulinghun","","","",""
"sizhongdage","","","",""
"huazhongyoushi","","","",""
"heixinlaoban","","","",""
"bufengzhuoying","","","",""
"shibuguosan","","","",""
"yijuegaoxia","","","",""
"huitoushian","","","",""
"feilaihengcu","","","",""
"xiaoxiaozhixian","","","",""
"libushangshu","","","",""
"libushangshu2","","","",""
"guanzhishaofu","","","",""
"guanzhitaifu","","","",""
"yixingwangye","","","",""
"zuochengdaren","","","",""
"youchengdaren","","","",""
"guanzhichengxiang","","","",""
"yirenzhixia","","","",""
"tianxiazhizhu","","","",""
"lvhouzhijiao","","","",""
"shennv","","","",""
"gonghuajimo","","","",""
"diyiqinglou","","","",""
"yihuqianying","","","",""
"bamianlaifeng","","","",""
"zhanlibaobiao","","","",""
"shengshengshishi","","","",""
"yishiyiyou","","","",""
"se/yipee.ogg","","","",""
"{color=#F0D800}【获得特殊成就：亦师亦友】{/color}","","","",""
"jiqicanjuan","","","",""
"tianxuanzhizi","","","",""
"haohendexin","","","",""
"dalaorenzheng","","","",""
"{color=#ff0}已同步Steam成就与游戏内已获得成就√{/color}（如为{color=#ff0000}离线状态{/color}则无效）
重新计算后的成就总积分为：{color=#9DD1FF}[persistent.zongjifen]{/color}","","","",""
"暂不支持切换时间线。","","","",""
"该番外尚未出炉，敬请期待！","","","",""
"LZG","","","",""
"LSS","","","",""
"LYY","","","",""
"NX","","","",""
"XY","","","",""
"JJ","","","",""
"WFR","","","",""
"QME","","","",""
"RWQ","","","",""
"YL","","","",""
"HC","","","",""
"GXZ","","","",""
"WY","","","",""
"XX","","","",""
"SYH","","","",""
"shouxia","","","",""
"1年1月, ","","","",""
"新","","","",""
"旧","","","",""
"{color=#F0D800}【获得特殊成就：生生世世】{/color}","","","",""
"{color=#D81C8E}解锁曲目：《天长地久》☆☆☆☆☆{/color}
特殊加成：每月体力+5","","","",""
"达成容都王线全部结局！
{color=#ff0}【解锁开局加成：容都王初始好感度+20】{/color}
{color=#F67876}【解锁容都王皮肤：朝服】{/color}（可在养成的“帮助”界面中切换）","","","",""
"达成单人线全部结局！{color=#ff0}【解锁开局加成：初始威严+20】{/color}","","","",""
"music/19-bujianzhenxiang.ogg","","","",""
"如果有前世，你认为自己会是什么人？","Cadenza translated me，你认为自己会是什么人？","Cadenza translated me，你认为自己会是什么人？","Cadenza translated me，你认为自己会是什么人？","Cadenza translated me，你认为自己会是什么人？"
"王侯将相","","","",""
"热心的书生","","","",""
"侠士","","","",""
"忠心的臣子","","","",""
"世外高人","","","",""
"魔教教主","","","",""
"你给别人的第一印象偏向于以下的哪一个？","","","",""
"平易近人","","","",""
"难以靠近","","","",""
"放浪不羁","","","",""
"安分守己","","","",""
"领袖风范","","","",""
"乐于助人","","","",""
"以下中的哪个对你来说最{color=#ff0000}不重要{/color}？","","","",""
"财富","","","",""
"人品","","","",""
"地位","","","",""
"感情","","","",""
"你的生辰在几月？","","","",""
"一月","","","",""
"二月","","","",""
"三月","","","",""
"四月","","","",""
"五月","","","",""
"六月","","","",""
"【下一页】","","","",""
"七月","","","",""
"八月","","","",""
"九月","","","",""
"十月","","","",""
"十一月","","","",""
"十二月","","","",""
"【上一页】","","","",""
"{color=#ffffff}岳朝皇帝昏庸无道、屠害忠良、压榨百姓，惹得无数仁人义士暗起反心......{/color}","","","",""
"容都王","","","",""
"se/run1.ogg","","","",""
"{color=#ffffff}青潭城外二十里处{/color}","","","",""
"music/longwu.ogg","","","",""
"岳","","","",""
"越","","","",""
"治","","","",""
"岳治","","","",""
"挚","","","",""
"十一","","","",""
"[xing]十二","","","",""
"[xing]十一","","","",""
"匆忙的脚步声打破了夜的沉静，荒野中出现两个女子飞驰的身影，灌草在两人身后形成一条线，夜色掩盖下数十名黑色劲装男子如豺狼般紧跟身后。","","","",""
"她们明知不能停下，脚步却愈发沉重。","","","",""
"se/throw.ogg","","","",""
"影卫","","","",""
"【扔出飞刀】","","","",""
"se/blood.ogg","","","",""
"【后腿被飞刀刺中】啊！！","","","",""
"se/blmcz.ogg","","","",""
"【小腿传来钻心的疼痛，重重跌倒在地】","","","",""
"【听到尖叫声猛地回头，心凉了半截】一一！","","","",""
"【疼得冷汗直冒，整个人缩成一团】姐，你快走！","","","",""
"【止住脚步】","","","",""
"（...算了，我们平头百姓如何能跟权势滔天的官宦任家抗衡？与其绝望地挣扎不如就此作罢。）","","","",""
"（如今我姐妹二人能够死在一起也算是最好的结局了。）","","","",""
"se/blmcq.ogg","","","",""
"【原路折回，伸手将妹妹扶起】","","","",""
"黎一一扶着姐姐艰难地从地上站起身，环顾四周，影卫们已将二人团团包围，冰冷的配剑在月色中闪着幽光。","","","",""
"???","","","",""
"【看向领头的女子】姑娘，是要生擒还是——","","","",""
"——你当我将她们赶到这里是为了什么？杀！","","","",""
"是！","","","",""
"se/chuqiao.ogg","","","",""
"影卫们","","","",""
"【面无表情地抬手，从身侧抽出长剑向两人刺去】","","","",""
"【闭目】（父亲...等等我们。）","","","",""
"se/jianding.ogg","","","",""
"叮！是兵器相交的声音——那些原本斩向它们的剑纷纷被暗器击落在地！","","","",""
"music/tiankonghuojian.ogg","","","",""
"se/shoot.ogg","","","",""
"紧接着，一个个黑点出现在远处荒芜的土坡上，密集的银光从坡上射了过来！","","","",""
"【脸色一变】是飞箭，有埋伏！","","","",""
"se/bijian2.ogg","","","",""
"【慌忙捡起地上的长剑挥舞起来】","","","",""
"【一边斩断飞箭，一边后退】","","","",""
"（来人似乎是冲着他们去的...）","","","",""
"【立即将黎一一架在肩上，趁乱朝着影卫后退的反方向躲去】","","","",""
"【害怕】他们...他们是谁啊？是来救我们的吗？","","","",""
"【不确定地摇了摇头】","","","",""
"不远处的土坡上，相对站着两个男子。","","","",""
"一人身着绣着暗纹的玄色长袍，剑眉星目，五官俊逸，显得气宇轩昂；另一人反倒有些儒雅，只是银质的面具将脸挡住大半，看不清神色。","","","",""
"【手负在身后】下面那个女子就是任家的长女，任无晴？","","","",""
"正是。","","","",""
"任无晴","","","",""
"【略带惋惜】此女风范有几分雎鸠当年的神气，是个好苗子。","","","",""
"只可惜她父兄挡道，不得不除...但愿他们一家四十口下辈子投生在普通人家，莫要再掺合其中。","","","",""
"se/walk.ogg","","","",""
"【走过来，行礼】王爷、主人。","","","",""
"任无晴和她的十四名影卫已全部被射杀。","","","",""
"se/wind.ogg","","","",""
"【看过去】","","","",""
"坡下已是一片死静，只剩两名惊魂未定的女子还立在风中。","","","",""
"...王爷和主人打算怎么处置黎氏姐妹？","","","",""
"她们对我尚有用处，就一同带去京城吧。","","","",""
"野心","","","",""
"【一喜，看向王爷】","","","",""
"与这件事有关的人都不应该留。","","","",""
"恶毒","","","",""
"......","","","",""
"她们父亲遇害、无家可归，不如我来收留她们吧。","","","",""
"善良","","","",""
"se/haogan.ogg","","","",""
"（主人果然跟我想得一样！）","","","",""
"【看向容都王】","","","",""
"忠心","","","",""
"王爷以为如何？","","","",""
"本王正有此意。","","","",""
"我们既凑巧救下两块璞玉，便应当好好利用这份恩情。","","","",""
"【躬身】","","","",""
"【对栗子糕道】去把她们带上来。","","","",""
"【抬手在脖子处一晃道】就此解决？","","","",""
"我们既凑巧救下她们，何不利用这一点，让她们为我们所用？","","","",""
"[zicheng]不认为两个手无缚鸡之力的弱女子能有多大的用处。","","","",""
"话虽如此，救命之恩所带来的忠心可不常有。","","","",""
"【作出让步】王爷言之有理，那就留下她们吧。","","","",""
"【松了口气】","","","",""
"【沉默】（救命之恩也未必换来忠心。）","","","",""
"【见你不语，对栗子糕道】你的主人刚才已经发话，去给她们个了断吧。","","","",""
"是。","","","",""
"你此去京城正好缺几个知根知底、能够信任的手下，我们既凑巧救下她们，不妨好好利用这份恩情，让她们为你所用。","","","",""
"王爷说得是。","","","",""
"【对栗子糕道】去把她们带上来吧。","","","",""
"栗子领命！","","","",""
